make,carID,carID_and_Year,Chest_decel,L_Leg,R_Leg,D_P,Protection,Doors,Year,Wt,Size
Acura,Acura_Integra,Acura_Integra_87,35,791,262,Driver,manual_belts,2,87,2350,lt
Acura,Acura_Integra_RS,Acura_Integra_RS_90,,1545,1301,Driver,Motorized_belts,4,90,2490,lt
Acura,Acura_Legend_LS,Acura_Legend_LS_88,50,926,708,Driver,d_airbag,4,88,3280,med
Audi,Audi_80,Audi_80_89,49,168,1871,Driver,manual_belts,4,89,2790,comp
Audi,Audi_100,Audi_100_89,35,998,894,Driver,d_airbag,4,89,3100,med
BMW,BMW_325i,BMW_325i_90,56,865,,Driver,d_airbag,2,90,2862,comp
Buick,Buick_Century,Buick_Century_91,47,1340,315,Driver,passive_belts,4,91,2992,comp
Buick,Buick_Elect._Park_Ave,Buick_Elect._Park_Ave_88,54,712,1366,Driver,manual_belts,4,88,3360,med
Buick,Buick_Regal,Buick_Regal_88,50,996,642,Driver,passive_belts,2,88,3210,med
Cadillac,Cadillac_De_Ville,Cadillac_De_Ville_90,39,541,1629,Driver,d_airbag,4,90,3500,hev
Chevrolet,Chevrolet_Astro,Chevrolet_Astro_88,72,1572,700,Driver,manual_belts,,88,3787,van
Chevrolet,Chevrolet_Astro,Chevrolet_Astro_89,64,2737,1043,Driver,manual_belts,,89,4002,van
Chevrolet,Chevrolet_Beretta,Chevrolet_Beretta_91,37,659,523,Driver,d_airbag,2,91,2671,comp
Chevrolet,Chevrolet_Beretta_GT,Chevrolet_Beretta_GT_88,50,1692,1052,Driver,passive_belts,2,88,2890,comp
Chevrolet,Chevrolet_Camaro,Chevrolet_Camaro_87,39,736,353,Driver,manual_belts,2,87,3070,med
Chevrolet,Chevrolet_Camaro,Chevrolet_Camaro_91,39,717,150,Driver,d_airbag,2,91,3191,med
Chevrolet,Chevrolet_Caprice,Chevrolet_Caprice_89,64,406,493,Driver,manual_belts,4,89,3693,hev
Chevrolet,Chevrolet_Caprice,Chevrolet_Caprice_91,54,1529,613,Driver,d_airbag,4,91,3990,hev
