MB,BH,BL,NH
131,138,89,49
125,131,92,48
131,132,99,50
119,132,96,44
136,143,100,54
138,137,89,56
139,130,108,48
125,136,93,48
131,134,102,51
134,134,99,51
129,138,95,50
134,121,95,53
126,129,109,51
132,136,100,50
141,140,100,51
131,134,97,54
135,137,103,50
132,133,93,53
139,136,96,50
132,131,101,49
126,133,102,51
135,135,103,47
134,124,93,53
128,134,103,50
130,130,104,49
138,135,100,55
128,132,93,53
127,129,106,48
131,136,114,54
124,138,101,46
124,138,101,48
133,134,97,48
138,134,98,45
148,129,104,51
126,124,95,45
135,136,98,52
132,145,100,54
133,130,102,48
131,134,96,50
133,125,94,46
133,136,103,53
131,139,98,51
131,136,99,56
138,134,98,49
130,136,104,53
131,128,98,45
138,129,107,53
123,131,101,51
130,129,105,47
134,130,93,54
137,136,106,49
126,131,100,48
135,136,97,52
129,126,91,50
134,139,101,49
131,134,90,53
132,130,104,50
130,132,93,52
135,132,98,54
130,128,101,51
137,141,96,52
129,133,93,47
132,138,87,48
130,134,106,50
134,134,96,45
140,133,98,50
138,138,95,47
136,145,99,55
136,131,92,46
126,136,95,56
137,129,100,53
137,139,97,50
136,126,101,50
137,133,90,49
129,142,104,47
135,138,102,55
129,135,92,50
134,125,90,60
138,134,96,51
136,135,94,53
132,130,91,52
133,131,100,50
138,137,94,51
130,127,99,45
136,133,91,49
134,123,95,52
136,137,101,54
133,131,96,49
138,133,100,55
138,133,91,46
137,134,107,54
141,128,95,53
141,130,87,49
135,131,99,51
133,120,91,46
131,135,90,50
140,137,94,60
139,130,90,48
140,134,90,51
138,140,100,52
132,133,90,53
134,134,97,54
135,135,99,50
133,136,95,52
136,130,99,55
134,137,93,52
131,141,99,55
129,135,95,47
136,128,93,54
131,125,88,48
139,130,94,53
144,124,86,50
141,131,97,53
130,131,98,53
133,128,92,51
138,126,97,54
131,142,95,53
136,138,94,55
132,136,92,52
135,130,100,51
137,123,91,50
136,131,95,49
128,126,91,57
130,134,92,52
138,127,86,47
126,138,101,52
136,138,97,58
126,126,92,45
132,132,99,55
139,135,92,54
143,120,95,51
141,136,101,54
135,135,95,56
137,134,93,53
142,135,96,52
139,134,95,47
138,125,99,51
137,135,96,54
133,125,92,50
145,129,89,47
138,136,92,46
131,129,97,44
143,126,88,54
134,124,91,55
132,127,97,52
137,125,85,57
129,128,81,52
140,135,103,48
147,129,87,48
136,133,97,51
