CIC.institutions,average.salary,full.prof.salary,assoc.prof.salary
0,64.47,83,57.5
0,59.2,78.9,49.7
0,58.77,75.4,51.4
0,55.94,70.2,50.8
0,75.54,93.3,70
0,63.01,79.3,55
0,57.65,70.96,52.35
0,54.91,71.6,47.8
0,54.01,70.3,45.7
0,58.94,75.5,51.7
0,51.33,63.5,46
1,55.86,69.5,50.4
0,71.09,91.2,64.4
0,53.69,64.9,49.6
0,72.33,90.5,64.1
1,59.05,73.1,54
0,66.53,92.7,54.9
0,53.95,67.1,49.7
1,54.71,70.2,47.9
1,67.16,86.9,57.3
0,64.69,90.2,52.3
1,53.55,65.5,48.4
1,54.48,68.8,49.1
0,66.8,79.8,53.7
1,53.94,67.1,48.4
1,53.45,66.5,47.6
0,56.22,71.4,50.8
0,70.11,96.5,55.7
1,64.63,82.6,57.3
0,47.11,56.7,42.7
1,51.96,65.7,46.9
0,58.82,76.8,51.4
0,57.75,72.9,50.9
0,56.33,72.4,49.4
0,68.76,87,61.6
0,58.07,73,53.7
1,54.63,68.8,48.7
0,53.33,67.1,48.3
0,50.78,63,46.1
1,50.97,62.4,47.3
0,61.67,77.9,55.2
0,45.76,55.9,41.8
0,59.16,76.9,51.5
0,53.15,66.7,46.9
0,45.75,56.1,42
0,59.3,75,50.5
0,52.06,65.3,46.3
0,48.85,61,44
0,66.31,85.1,56.8
0,63.22,83.4,55.8
