Month,Day,Day_of_week
1,1,Sunday
1,2,Monday
1,3,Tuesday
1,4,Wednesday
1,5,Thursday
1,6,Friday
1,7,Saturday
1,8,Sunday
1,9,Monday
1,10,Tuesday
1,11,Wednesday
1,12,Thursday
1,13,Friday
1,14,Saturday
1,15,Sunday
1,16,Monday
1,17,Tuesday
1,18,Wednesday
1,19,Thursday
1,20,Friday
1,21,Saturday
1,22,Sunday
1,23,Monday
1,24,Tuesday
1,25,Wednesday
1,26,Thursday
1,27,Friday
1,28,Saturday
1,29,Sunday
1,30,Monday
1,31,Tuesday
2,1,Wednesday
2,2,Thursday
2,3,Friday
2,4,Saturday
2,5,Sunday
2,6,Monday
2,7,Tuesday
2,8,Wednesday
2,9,Thursday
2,10,Friday
2,11,Saturday
2,12,Sunday
2,13,Monday
2,14,Tuesday
2,15,Wednesday
2,16,Thursday
2,17,Friday
2,18,Saturday
2,19,Sunday
2,20,Monday
2,21,Tuesday
2,22,Wednesday
2,23,Thursday
2,24,Friday
2,25,Saturday
2,26,Sunday
2,27,Monday
2,28,Tuesday
3,1,Wednesday
3,2,Thursday
3,3,Friday
3,4,Saturday
3,5,Sunday
3,6,Monday
3,7,Tuesday
3,8,Wednesday
3,9,Thursday
3,10,Friday
3,11,Saturday
3,12,Sunday
3,13,Monday
3,14,Tuesday
3,15,Wednesday
3,16,Thursday
3,17,Friday
3,18,Saturday
3,19,Sunday
3,20,Monday
3,21,Tuesday
3,22,Wednesday
3,23,Thursday
3,24,Friday
3,25,Saturday
3,26,Sunday
3,27,Monday
3,28,Tuesday
3,29,Wednesday
3,30,Thursday
3,31,Friday
4,1,Saturday
4,2,Sunday
4,3,Monday
4,4,Tuesday
4,5,Wednesday
4,6,Thursday
4,7,Friday
4,8,Saturday
4,9,Sunday
4,10,Monday
4,11,Tuesday
4,12,Wednesday
4,13,Thursday
4,14,Friday
4,15,Saturday
4,16,Sunday
4,17,Monday
4,18,Tuesday
4,19,Wednesday
4,20,Thursday
4,21,Friday
4,22,Saturday
4,23,Sunday
4,24,Monday
4,25,Tuesday
4,26,Wednesday
4,27,Thursday
4,28,Friday
4,29,Saturday
4,30,Sunday
5,1,Monday
5,2,Tuesday
5,3,Wednesday
5,4,Thursday
5,5,Friday
5,6,Saturday
5,7,Sunday
5,8,Monday
5,9,Tuesday
5,10,Wednesday
5,11,Thursday
5,12,Friday
5,13,Saturday
5,14,Sunday
5,15,Monday
5,16,Tuesday
5,17,Wednesday
5,18,Thursday
5,19,Friday
5,20,Saturday
5,21,Sunday
5,22,Monday
5,23,Tuesday
5,24,Wednesday
5,25,Thursday
5,26,Friday
5,27,Saturday
5,28,Sunday
5,29,Monday
5,30,Tuesday
5,31,Wednesday
6,1,Thursday
6,2,Friday
6,3,Saturday
6,4,Sunday
6,5,Monday
6,6,Tuesday
6,7,Wednesday
6,8,Thursday
6,9,Friday
6,10,Saturday
6,11,Sunday
6,12,Monday
6,13,Tuesday
6,14,Wednesday
6,15,Thursday
6,16,Friday
6,17,Saturday
6,18,Sunday
6,19,Monday
6,20,Tuesday
6,21,Wednesday
6,22,Thursday
6,23,Friday
6,24,Saturday
6,25,Sunday
6,26,Monday
6,27,Tuesday
6,28,Wednesday
6,29,Thursday
6,30,Friday
7,1,Saturday
7,2,Sunday
7,3,Monday
7,4,Tuesday
7,5,Wednesday
7,6,Thursday
7,7,Friday
7,8,Saturday
7,9,Sunday
7,10,Monday
7,11,Tuesday
7,12,Wednesday
7,13,Thursday
7,14,Friday
7,15,Saturday
7,16,Sunday
7,17,Monday
7,18,Tuesday
7,19,Wednesday
7,20,Thursday
7,21,Friday
7,22,Saturday
7,23,Sunday
7,24,Monday
7,25,Tuesday
7,26,Wednesday
7,27,Thursday
7,28,Friday
7,29,Saturday
7,30,Sunday
7,31,Monday
8,1,Tuesday
8,2,Wednesday
8,3,Thursday
8,4,Friday
8,5,Saturday
8,6,Sunday
8,7,Monday
8,8,Tuesday
8,9,Wednesday
8,10,Thursday
8,11,Friday
8,12,Saturday
8,13,Sunday
8,14,Monday
8,15,Tuesday
8,16,Wednesday
8,17,Thursday
8,18,Friday
8,19,Saturday
8,20,Sunday
8,21,Monday
8,22,Tuesday
8,23,Wednesday
8,24,Thursday
8,25,Friday
8,26,Saturday
8,27,Sunday
8,28,Monday
8,29,Tuesday
8,30,Wednesday
8,31,Thursday
,1,Friday
,2,Saturday
,3,Sunday
,4,Monday
,5,Tuesday
,6,Wednesday
,7,Thursday
,8,Friday
,9,Saturday
,10,Sunday
,11,Monday
,12,Tuesday
,13,Wednesday
,14,Thursday
,15,Friday
,16,Saturday
,17,Sunday
,18,Monday
,19,Tuesday
,20,Wednesday
,21,Thursday
,22,Friday
,23,Saturday
,24,Sunday
,25,Monday
,26,Tuesday
,27,Wednesday
,28,Thursday
,29,Friday
,30,Saturday
10,1,Sunday
10,2,Monday
10,3,Tuesday
10,4,Wednesday
10,5,Thursday
10,6,Friday
10,7,Saturday
10,8,Sunday
10,9,Monday
10,10,Tuesday
10,11,Wednesday
10,12,Thursday
10,13,Friday
10,14,Saturday
10,15,Sunday
10,16,Monday
10,17,Tuesday
10,18,Wednesday
10,19,Thursday
10,20,Friday
10,21,Saturday
10,22,Sunday
10,23,Monday
10,24,Tuesday
10,25,Wednesday
10,26,Thursday
10,27,Friday
10,28,Saturday
10,29,Sunday
10,30,Monday
10,31,Tuesday
11,1,Wednesday
11,2,Thursday
11,3,Friday
11,4,Saturday
11,5,Sunday
11,6,Monday
11,7,Tuesday
11,8,Wednesday
11,9,Thursday
11,10,Friday
11,11,Saturday
11,12,Sunday
11,13,Monday
11,14,Tuesday
11,15,Wednesday
11,16,Thursday
11,17,Friday
11,18,Saturday
11,19,Sunday
11,20,Monday
11,21,Tuesday
11,22,Wednesday
11,23,Thursday
11,24,Friday
11,25,Saturday
11,26,Sunday
11,27,Monday
11,28,Tuesday
11,29,Wednesday
11,30,Thursday
12,1,Friday
12,2,Saturday
12,3,Sunday
12,4,Monday
12,5,Tuesday
12,6,Wednesday
12,7,Thursday
12,8,Friday
12,9,Saturday
12,10,Sunday
12,11,Monday
12,12,Tuesday
12,13,Wednesday
12,14,Thursday
12,15,Friday
12,16,Saturday
12,17,Sunday
12,18,Monday
12,19,Tuesday
12,20,Wednesday
12,21,Thursday
12,22,Friday
12,23,Saturday
12,24,Sunday
12,25,Monday
12,26,Tuesday
12,27,Wednesday
12,28,Thursday
12,29,Friday
12,30,Saturday
12,31,Sunday
