Show,Type,Revival,NYT_rating,DN_rating,Week_1_attendance,Award
A_Dolls_House,Play,Yes,5,2.66667,87.13,No_nomination
A_Dolls_House,Play,Yes,5,2.66667,87.13,Losing_nomination
A_Dolls_House,Play,Yes,5,2.66667,87.13,Win
A_Thousand_Clowns,Play,Yes,1.66667,2,100,No_nomination
A_Thousand_Clowns,Play,Yes,1.66667,2,100,Losing_nomination
A_Thousand_Clowns,Play,Yes,1.66667,2,100,Win
A_View_From_the_Bridge,Play,Yes,4.66667,2.33333,88.44,No_nomination
A_View_From_the_Bridge,Play,Yes,4.66667,2.33333,88.44,Losing_nomination
A_View_From_the_Bridge,Play,Yes,4.66667,2.33333,88.44,Win
Ah_Wilderness!,Play,Yes,3.66667,4.66667,68.14,No_nomination
Ah_Wilderness!,Play,Yes,3.66667,4.66667,68.14,Losing_nomination
Ah_Wilderness!,Play,Yes,3.66667,4.66667,68.14,Win
Amys_View,Play,No,3.66667,4.66667,90.72,No_nomination
Amys_View,Play,No,3.66667,4.66667,90.72,Losing_nomination
Amys_View,Play,No,3.66667,4.66667,90.72,Win
An_American_Daughter,Play,No,2.33333,2.33333,77.09,No_nomination
An_American_Daughter,Play,No,2.33333,2.33333,77.09,Losing_nomination
An_American_Daughter,Play,No,2.33333,2.33333,77.09,Win
Annie,Musical,Yes,1.66667,3,84.8,No_nomination
Annie,Musical,Yes,1.66667,3,84.8,Losing_nomination
Annie,Musical,Yes,1.66667,3,84.8,Win
Annie_Get_Your_Gun,Musical,Yes,2,4.33333,89.2,No_nomination
Annie_Get_Your_Gun,Musical,Yes,2,4.33333,89.2,Losing_nomination
Annie_Get_Your_Gun,Musical,Yes,2,4.33333,89.2,Win
Art,Play,No,4.66667,4.66667,90.35,No_nomination
Art,Play,No,4.66667,4.66667,90.35,Losing_nomination
Art,Play,No,4.66667,4.66667,90.35,Win
Band_in_Berlin,Musical,No,1.66667,3.33333,48.38,No_nomination
Band_in_Berlin,Musical,No,1.66667,3.33333,48.38,Losing_nomination
Band_in_Berlin,Musical,No,1.66667,3.33333,48.38,Win
Barrymore,Play,No,4.33333,3.66667,53.69,No_nomination
Barrymore,Play,No,4.33333,3.66667,53.69,Losing_nomination
Barrymore,Play,No,4.33333,3.66667,53.69,Win
