Age,Time_of_survey,Schooling,Region,Count
19-29,1991,Basic_incomplete,West_Germany,1
19-29,1991,Basic,West_Germany,5
19-29,1991,Medium,West_Germany,10
19-29,1991,Upper_medium,West_Germany,3
19-29,1991,Intensive,West_Germany,8
19-29,1991,Basic_incomplete,East_Germany,0
19-29,1991,Basic,East_Germany,0
19-29,1991,Medium,East_Germany,2
19-29,1991,Upper_medium,East_Germany,0
19-29,1991,Intensive,East_Germany,2
19-29,1991,Basic_incomplete,West_Germany,3
19-29,1991,Basic,West_Germany,63
19-29,1991,Medium,West_Germany,88
19-29,1991,Upper_medium,West_Germany,22
19-29,1991,Intensive,West_Germany,78
19-29,1991,Basic_incomplete,East_Germany,2
19-29,1991,Basic,East_Germany,13
19-29,1991,Medium,East_Germany,103
19-29,1991,Upper_medium,East_Germany,6
19-29,1991,Intensive,East_Germany,29
19-29,1991,Basic_incomplete,West_Germany,1
19-29,1991,Basic,West_Germany,25
19-29,1991,Medium,West_Germany,18
19-29,1991,Upper_medium,West_Germany,5
19-29,1991,Intensive,West_Germany,9
19-29,1991,Basic_incomplete,East_Germany,1
19-29,1991,Basic,East_Germany,5
19-29,1991,Medium,East_Germany,53
19-29,1991,Upper_medium,East_Germany,1
19-29,1991,Intensive,East_Germany,12
19-29,1991,Basic_incomplete,West_Germany,2
19-29,1991,Basic,West_Germany,2
19-29,1991,Medium,West_Germany,0
19-29,1991,Upper_medium,West_Germany,0
19-29,1991,Intensive,West_Germany,1
19-29,1991,Basic_incomplete,East_Germany,0
19-29,1991,Basic,East_Germany,0
19-29,1991,Medium,East_Germany,4
19-29,1991,Upper_medium,East_Germany,0
19-29,1991,Intensive,East_Germany,3
30-44,1991,Basic_incomplete,West_Germany,0
30-44,1991,Basic,West_Germany,24
30-44,1991,Medium,West_Germany,17
30-44,1991,Upper_medium,West_Germany,3
30-44,1991,Intensive,West_Germany,11
30-44,1991,Basic_incomplete,East_Germany,0
30-44,1991,Basic,East_Germany,3
30-44,1991,Medium,East_Germany,7
30-44,1991,Upper_medium,East_Germany,0
30-44,1991,Intensive,East_Germany,1
30-44,1991,Basic_incomplete,West_Germany,1
30-44,1991,Basic,West_Germany,135
30-44,1991,Medium,West_Germany,89
30-44,1991,Upper_medium,West_Germany,26
30-44,1991,Intensive,West_Germany,68
30-44,1991,Basic_incomplete,East_Germany,3
30-44,1991,Basic,East_Germany,39
30-44,1991,Medium,East_Germany,198
30-44,1991,Upper_medium,East_Germany,7
