Year,Length,Injuries,Fatal_injuries,Good/neutral_injuries,Good/neutral_fatalities,Bad_injuries,Bad_fatalities
1937,5040,2,1,1,0,1,1
1940,7200,1,1,1,1,0,0
1940,5280,1,0,1,0,0,0
1941,3780,0,0,0,0,0,0
1942,4140,2,1,2,1,0,0
1945,4260,0,0,0,0,0,0
1947,4380,0,0,0,0,0,0
1949,4080,0,0,0,0,0,0
1950,4560,1,1,0,0,1,1
1951,4440,0,0,0,0,0,0
1953,4560,2,1,1,0,1,1
1955,4560,3,1,2,0,1,1
1959,4500,1,1,0,0,1,1
1961,4740,0,0,0,0,0,0
1963,4740,0,0,0,0,0,0
1967,4680,3,0,3,0,0,0
1969,5100,0,0,0,0,0,0
1970,4740,0,0,0,0,0,0
1972,4800,1,0,1,0,0,0
1973,5640,0,0,0,0,0,0
1973,4980,0,0,0,0,0,0
1977,4980,0,0,0,0,0,0
1977,4560,0,0,0,0,0,0
1981,4980,3,1,2,1,1,0
1982,5100,5,3,3,1,2,2
1982,5200,4,3,3,2,1,1
1985,4680,0,0,0,0,0,0
1986,4860,0,0,0,0,0,0
1986,4380,2,2,0,0,2,2
1988,4140,3,2,1,1,2,1
1988,4440,6,3,2,0,4,3
1989,5340,5,3,3,2,2,1
1989,6180,0,0,0,0,0,0
1989,4980,2,1,1,0,1,1
1990,4440,1,1,0,0,1,1
1990,4440,5,3,2,0,3,3
1990,4920,3,0,3,0,0,0
1990,4440,5,2,2,0,3,2
1990,4620,1,1,0,0,1,1
1991,4500,0,0,0,0,0,0
1991,5040,3,1,2,0,1,1
1991,4920,3,2,1,0,2,2
1992,5400,1,1,1,1,0,0
1992,4560,0,0,0,0,0,0
1992,5100,3,2,1,0,2,2
1992,5040,1,0,1,0,0,0
1993,5160,0,0,0,0,0,0
1993,4260,2,2,2,2,0,0
1993,4260,0,0,0,0,0,0
1994,5280,2,2,1,1,1,1
1994,4560,0,0,0,0,0,0
1994,5400,9,2,8,1,1,1
1994,5160,1,0,1,0,0,0
1994,4560,0,0,0,0,0,0
1995,4380,2,2,1,1,1,1
1995,4680,1,0,0,0,1,0
1995,4680,0,0,0,0,0,0
1995,5400,1,0,1,0,0,0
1995,4440,1,1,0,0,1,1
1995,4860,3,1,3,1,0,0
1995,4860,0,0,0,0,0,0
1996,4920,0,0,0,0,0,0
1996,5400,5,2,4,1,1,1
1997,5640,3,2,1,0,2,2
1997,4440,3,1,2,0,1,1
1997,4620,0,0,0,0,0,0
1997,5520,3,2,1,0,2,2
1997,4680,0,0,0,0,0,0
1997,4320,3,2,1,0,2,2
1998,5700,3,1,2,0,1,1
1998,5280,5,2,3,0,2,2
1998,5160,3,2,2,1,1,1
1998,4860,0,0,0,0,0,0
1999,5340,2,0,2,0,0,0
