Age,Disease,Total
1,Mumps,407
2,Mumps,292
3,Mumps,332
4,Mumps,368
5,Mumps,421
6,Mumps,330
7,Mumps,294
8,Mumps,258
9,Mumps,312
10,Mumps,304
11,Mumps,282
12,Mumps,321
13,Mumps,313
14,Mumps,366
15,Mumps,116
16,Mumps,121
17,Mumps,148
18,Mumps,196
19,Mumps,211
20,Mumps,159
21,Mumps,160
22,Mumps,204
23,Mumps,170
24,Mumps,170
25,Mumps,180
26,Mumps,178
27,Mumps,179
28,Mumps,150
29,Mumps,147
30,Mumps,120
31,Mumps,122
32,Mumps,104
33,Mumps,95
34,Mumps,82
35,Mumps,78
36,Mumps,67
37,Mumps,65
38,Mumps,72
39,Mumps,47
40,Mumps,62
41,Mumps,56
42,Mumps,43
43,Mumps,37
44,Mumps,40
1,Rubella,206
2,Rubella,146
3,Rubella,168
4,Rubella,189
5,Rubella,219
6,Rubella,195
7,Rubella,164
8,Rubella,145
9,Rubella,180
10,Rubella,160
11,Rubella,148
12,Rubella,178
13,Rubella,177
14,Rubella,165
15,Rubella,67
16,Rubella,58
17,Rubella,81
18,Rubella,79
19,Rubella,111
20,Rubella,76
21,Rubella,82
22,Rubella,101
23,Rubella,88
24,Rubella,85
25,Rubella,94
26,Rubella,91
27,Rubella,89
28,Rubella,76
29,Rubella,79
30,Rubella,56
31,Rubella,52
32,Rubella,48
33,Rubella,37
34,Rubella,41
35,Rubella,40
36,Rubella,38
37,Rubella,39
38,Rubella,41
39,Rubella,30
40,Rubella,27
41,Rubella,25
42,Rubella,22
43,Rubella,19
44,Rubella,18
1,Parvovirus,72
2,Parvovirus,71
3,Parvovirus,85
4,Parvovirus,104
5,Parvovirus,102
6,Parvovirus,91
7,Parvovirus,87
8,Parvovirus,79
9,Parvovirus,104
10,Parvovirus,81
11,Parvovirus,81
12,Parvovirus,97
13,Parvovirus,69
14,Parvovirus,88
15,Parvovirus,53
16,Parvovirus,64
17,Parvovirus,93
18,Parvovirus,100
19,Parvovirus,88
20,Parvovirus,103
21,Parvovirus,97
22,Parvovirus,110
23,Parvovirus,131
24,Parvovirus,124
25,Parvovirus,92
26,Parvovirus,82
27,Parvovirus,106
28,Parvovirus,69
29,Parvovirus,102
30,Parvovirus,67
31,Parvovirus,56
32,Parvovirus,61
33,Parvovirus,53
34,Parvovirus,56
35,Parvovirus,40
36,Parvovirus,46
37,Parvovirus,44
38,Parvovirus,27
39,Parvovirus,44
40,Parvovirus,29
41,Parvovirus,16
42,Parvovirus,16
43,Parvovirus,17
44,Parvovirus,23
