SPEED1,TOTAL,SPEED2,NUMBER2,SENS,TIME
2,10,1.5,0,6,5.7
2,10,1.5,0,10,17.56
2,10,1.5,2,6,11.28
2,10,1.5,2,10,8.39
2,10,2.5,0,6,16.67
2,10,2.5,0,10,12.04
2,10,2.5,2,6,9.22
2,10,2.5,2,10,3.94
2,30,1.5,0,6,27.02
2,30,1.5,0,10,19.46
2,30,1.5,2,6,18.54
2,30,1.5,2,10,25.7
2,30,2.5,0,6,19.02
2,30,2.5,0,10,22.39
2,30,2.5,2,6,23.85
2,30,2.5,2,10,30.12
6,10,1.5,0,6,13.42
6,10,1.5,0,10,34.26
6,10,1.5,2,6,39.74
6,10,1.5,2,10,10.6
6,10,2.5,0,6,28.89
6,10,2.5,0,10,35.61
6,10,2.5,2,6,17.2
6,10,2.5,2,10,6
6,30,1.5,0,6,129.45
6,30,1.5,0,0,107.38
6,30,1.5,2,6,111.66
6,30,1.5,2,0,109.1
6,30,2.5,0,6,100.43
6,30,2.5,0,0,109.28
6,30,2.5,2,6,106.46
6,30,2.5,2,0,134.01
4,20,2,1,8,10.78
4,20,2,1,8,9.39
4,20,2,1,8,9.84
4,20,2,1,8,13.94
4,20,2,1,8,12.33
4,20,2,1,8,7.32
4,20,2,1,8,7.91
4,20,2,1,8,15.58
