vendor,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX
adviser,125,256,6000,256,16,128
amdahl,29,8000,32000,32,8,32
amdahl,29,8000,32000,32,8,32
amdahl,29,8000,32000,32,8,32
amdahl,29,8000,16000,32,8,16
amdahl,26,8000,32000,64,8,32
amdahl,23,16000,32000,64,16,32
amdahl,23,16000,32000,64,16,32
amdahl,23,16000,64000,64,16,32
amdahl,23,32000,64000,128,32,64
apollo,400,1000,3000,0,1,2
apollo,400,512,3500,4,1,6
basf,60,2000,8000,65,1,8
basf,50,4000,16000,65,1,8
bti,350,64,64,0,1,4
bti,200,512,16000,0,4,32
burroughs,167,524,2000,8,4,15
burroughs,143,512,5000,0,7,32
burroughs,143,1000,2000,0,5,16
burroughs,110,5000,5000,142,8,64
burroughs,143,1500,6300,0,5,32
burroughs,143,3100,6200,0,5,20
burroughs,143,2300,6200,0,6,64
burroughs,110,3100,6200,0,6,64
c.r.d,320,128,6000,0,1,12
c.r.d,320,512,2000,4,1,3
c.r.d,320,256,6000,0,1,6
c.r.d,320,256,3000,4,1,3
c.r.d,320,512,5000,4,1,5
c.r.d,320,256,5000,4,1,6
cdc,25,1310,2620,131,12,24
cdc,25,1310,2620,131,12,24
cdc,50,2620,10480,30,12,24
cdc,50,2620,10480,30,12,24
cdc,56,5240,20970,30,12,24
cdc,64,5240,20970,30,12,24
cdc,50,500,2000,8,1,4
cdc,50,1000,4000,8,1,5
cdc,50,2000,8000,8,1,5
cambex,50,1000,4000,8,3,5
cambex,50,1000,8000,8,3,5
cambex,50,2000,16000,8,3,5
cambex,50,2000,16000,8,3,6
cambex,50,2000,16000,8,3,6
dec,133,1000,12000,9,3,12
dec,133,1000,8000,9,3,12
dec,810,512,512,8,1,1
dec,810,1000,5000,0,1,1
dec,320,512,8000,4,1,5
dec,200,512,8000,8,1,8
dg,700,384,8000,0,1,1
dg,700,256,2000,0,1,1
dg,140,1000,16000,16,1,3
dg,200,1000,8000,0,1,2
dg,110,1000,4000,16,1,2
dg,110,1000,12000,16,1,2
dg,220,1000,8000,16,1,2
formation,800,256,8000,0,1,4
formation,800,256,8000,0,1,4
formation,800,256,8000,0,1,4
formation,800,256,8000,0,1,4
formation,800,256,8000,0,1,4
four-phase,125,512,1000,0,8,20
gould,75,2000,8000,64,1,38
gould,75,2000,16000,64,1,38
gould,75,2000,16000,128,1,38
hp,90,256,1000,0,3,10
hp,105,256,2000,0,3,10
hp,105,1000,4000,0,3,24
hp,105,2000,4000,8,3,19
hp,75,2000,8000,8,3,24
hp,75,3000,8000,8,3,48
hp,175,256,2000,0,3,24
harris,300,768,3000,0,6,24
harris,300,768,3000,6,6,24
harris,300,768,12000,6,6,24
harris,300,768,4500,0,1,24
