DS_Name,T,N,p,k,Bin,Cost,SDratio,correl,cancor1,cancor2,fract1,fract2,skewness,kurtosis,Hc,Hx,MCx,EnAtr,NSRatio,Alg_Name
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Ac2
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Alloc80
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,BackProp
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Bayes
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,BayesTree
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,C4_5
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,CART
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Cal5
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Cascade
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Castle
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Cn2
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Default
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Dipol92
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Discrim
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,ITrule
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,IndCART
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,KNN
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Kohonen
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,LVQ
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,LogDisc
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,NewId
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,QuaDisc
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,RBF
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Smart
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Ac2
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Alloc80
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,BackProp
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Bayes
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,BayesTree
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,C4_5
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,CART
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Cal5
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Cascade
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Castle
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Cn2
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Default
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Dipol92
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Discrim
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,ITrule
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,IndCART
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,KNN
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Kohonen
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,LVQ
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,LogDisc
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,NewId
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,QuaDisc
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,RBF
BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,,1,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Smart
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,Ac2
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,Alloc80
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,BackProp
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,Bayes
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,BayesTree
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,C4_5
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,CART
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,Cal5
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,Cascade
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,Castle
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,Cn2
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,Default
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,Dipol92
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,Discrim
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,ITrule
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,IndCART
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,KNN
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,Kohonen
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,LVQ
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,LogDisc
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,NewId
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,QuaDisc
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,RBF
Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,,1,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,Smart
CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,,1,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,Ac2
CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,,1,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,Alloc80
CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,,1,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,BackProp
CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,,1,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,Bayes
CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,,1,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,BayesTree
CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,,1,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,C4_5
CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,,1,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,CART
CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,,1,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,Cal5
CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,,1,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,Cascade
CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,,1,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,Castle
CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,,1,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,Cn2
CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,,1,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,Default
