focal_depth,latitude,longitude
33,-52.26,28.3
36,45.53,150.93
57,41.85,142.78
67,29.19,141.15
30,-21.66,169.81
0,23.09,120.58
139,-20.7,169.92
60,22.33,93.58
50,-13.64,165.96
119,-16.31,-71.66
197,36.48,70.95
13,55.72,-155.95
26,55.75,-155.88
58,-5.14,151.77
33,-44.6,37.34
0,-44.2,167.96
27,36.23,-7.61
50,36.95,95.5
46,14.42,56.36
373,-6.44,127.96
44,59.79,-149.3
33,57.2,-153
4,58.26,-151.25
17,58.83,-149.29
23,56.42,-152.01
26,57.17,-152.45
32,60.05,-148.39
160,0.4,122.11
25,56.45,-153.94
12,60.36,-146.61
10,60.51,-146.7
35,59.79,-148.67
22,56.65,-152.82
51,3.91,96.56
41,61.62,-147.39
36,60.11,-146.71
14,56.85,-152.69
24,56.3,-154.4
2,60.25,-146.71
184,0.02,123.18
22,56.6,-152.21
6,61.51,-147.2
33,-5.42,133.99
99,-5.07,144.2
23,45.35,150.5
49,-3.88,35.06
22,40.39,139.05
16,40.55,139.21
49,-2.73,139.33
114,-56.45,-27.7
101,-56.09,-27.55
54,-56.17,-27.66
42,43.43,147.05
12,38.4,139.26
76,43.16,146.17
7,-1.76,149.75
15,-0.5,122.61
26,11.7,144.57
96,18.31,-100.5
189,-5.54,129.79
127,-15.56,167.62
20,47.09,153.77
7,46.96,153.8
4,47.09,153.72
4,-27.82,-71.1
22,14.17,96.12
7,-41.13,-74.99
392,-5.48,154.25
32,-26.37,-71.78
34,78.15,126.65
107,-4.42,144.08
33,-48.95,164.46
89,8.9,93.03
50,29.96,80.46
41,-10.42,162.42
34,40.3,28.23
14,-31.4,-110.84
585,-7.17,123.86
37,28.04,93.75
43,19.8,-56.11
2,-45.6,96.19
77,3.11,128.06
33,-31.78,57.32
60,-5.75,150.74
31,-20.46,-173.89
3,-6,150.75
607,-4.34,122.14
578,-27.46,-63.23
25,40.49,139.05
33,-20.45,-174.04
32,-13.49,166.54
23,27.4,87.84
0,49.88,78.96
94,-56.46,-27.05
6,-2.4,125.98
23,-2.64,126.04
33,-51.7,139.8
36,51.29,178.55
40,51.39,179.59
30,52.74,172.05
40,53.05,170.83
16,52.37,174.33
43,53.14,-161.85
32,52.05,175.6
33,53.26,-161.74
45,51.34,173.44
17,28.62,142.42
28,52.73,171.99
91,2.97,125.91
36,-25.67,-70.63
41,-5.43,151.97
33,-5.36,151.86
14,53.02,171.35
205,36.42,70.73
36,40.75,142.96
37,-1.47,126.5
58,-31.81,-71.26
22,55.2,162
68,-32.42,-71.1
41,40.73,142.85
20,50.32,177.93
45,38.38,22.26
39,35.06,24.31
12,-42.66,174.02
5,64.69,-160.23
51,54.25,-162.51
29,21,120.68
116,-7.02,129.61
60,47.41,-122.29
88,-55.99,-27.62
136,-6.2,130.33
80,22.41,121.26
3,-14.6,167.41
31,52.17,175.17
98,-56.24,-27.9
19,-7.53,128.6
27,15.93,-46.69
58,44.45,148.84
58,7.21,123.53
33,-54.59,5.4
40,53.03,-167.55
18,38.37,22.4
18,51.11,-171.3
33,-55.9,157.7
50,-7.31,-81.27
59,-5.21,151.65
14,-15.47,166.91
31,-15.75,167.12
26,-15.86,167.36
38,-5.25,152.13
36,-0.47,-19.93
328,-5.74,128.63
79,-18.84,-68.75
64,-22.91,-176.05
29,16.33,-95.8
30,58.29,-152.5
22,6.51,-84.44
55,-5.33,153.08
30,-6.37,151.66
62,-6.46,70.76
178,7.13,126.58
161,-1.4,-77.7
41,36.35,141.38
195,28.96,128.23
45,36.44,141.37
33,-54.74,-38.3
5,50.02,178.28
52,49.45,156.58
28,-42.9,-75.13
26,12.46,114.45
159,44.21,145.45
587,-9.04,-71.32
35,-22.34,-113.98
50,30.68,140.22
29,43.87,87.74
46,-29.34,-68.09
21,31,-41.53
50,53.89,160.68
122,-7.28,129.16
101,-6.21,130.39
41,51.32,-179.67
19,-9.61,159.77
118,-6.39,146.31
58,17.35,-100.04
38,58.35,-153.13
121,50.04,155.38
29,20.73,146.29
0,49.77,78.1
35,-17.66,167.96
7,-32.2,78.93
59,-5.41,151.57
53,48.29,154.36
50,31.49,80.5
17,1.85,126.4
42,24.24,122.67
627,-21.08,-179.15
34,0.81,29.9
0,49.72,78.07
28,37.49,115.06
40,23.86,122.97
61,23.72,142.18
61,51.24,157.76
23,57.37,-152.27
27,-0.78,122.22
75,-0.52,122.21
33,-52.77,160.17
22,-23.4,-174.72
214,36.43,71.12
37,11.26,139.57
242,-12.23,167.02
34,-10.43,160.89
20,-10.15,161.01
523,-7.21,124.69
33,29.62,80.83
36,29.71,80.89
102,24.86,122.56
16,51.99,179.95
29,50.57,-171.22
59,-0.1,125.01
11,-0.05,125.06
26,39.17,41.56
39,8.48,126.62
90,2.34,128.4
17,-23,170.6
27,-60.33,-27.25
39,27.87,54.3
165,-21.59,170.56
35,-60.44,-26.44
38,-10.74,-78.63
42,-1.52,-15.37
0,73.4,54.57
44,22.11,145.9
1,38.9,21.1
110,-31.95,-68.4
16,41.68,144.26
136,-14.03,167.04
0,49.92,77.76
571,-26.06,-63.1
46,-7.11,148.31
23,-25.51,-70.74
23,-15.16,-173.64
24,48.22,102.9
39,38.33,142.2
5,56.68,120.95
33,-14.83,-178.75
21,48.08,103.02
42,52.4,-169.54
1,24,-65.7
36,2.93,-74.83
598,-9.05,-71.34
21,-23.79,-175.14
88,-9.12,113.04
105,-0.09,123.95
126,-0.13,123.95
0,49.79,78.14
122,-0.16,-78.6
60,39.25,24.6
38,-10.64,166.29
50,-10.75,166.34
48,-10.77,166.25
33,-40.12,-74.68
80,-6.73,129.84
38,45.53,151.11
606,-6.01,112.33
33,-11.14,115.36
36,45.56,151.62
12,20,147.27
63,5.16,96.31
51,27.32,128.66
48,51.47,-178.32
109,-20.25,-68.83
184,-0.96,101.39
11,51.86,176.09
39,-15.33,-173.48
136,-58.36,-26.83
44,52.76,-166.9
28,-25.18,-70.54
38,54.44,-157.94
49,52.58,-168.13
33,40.67,30.69
160,6.84,-73.09
367,35.43,135.49
60,10.36,125.87
40,3.72,95.74
33,-60.84,-24.33
78,12.18,140.8
24,31.61,100.26
29,-10.59,-79.67
577,-27.62,-63.15
19,27.42,91.86
85,42.92,145.33
34,-57.82,-23.54
34,-49.57,163.93
126,-20.78,169.85
0,19.5,-60
20,-6.59,153.47
44,-5.66,153.92
605,-21.1,-179.18
60,-7.15,129.83
181,11.91,-85.98
0,73.4,54.42
73,24.43,122.25
0,-7.02,30.9
35,-28.78,-71.19
28,14.48,51.98
21,41.41,20.44
144,49.45,154.4
27,17.54,73.84
20,-21.89,-70.07
42,17.42,-61.19
5,17.61,-61.26
55,-5.25,153.7
91,-21.29,-68.2
33,-22.46,-174.61
80,-7.53,127.91
13,-9.29,158.46
29,-8.93,120.32
20,43.52,146.72
599,-6.1,113.36
46,-5.54,153.36
7,39.4,24.94
8,22.76,121.47
87,-16.13,-173.95
528,-6.59,116.18
37,32.48,132.28
40,32.24,132.21
12,33.22,-116.19
22,58.69,-149.93
30,43.58,-127.89
162,29.93,129.39
9,40.86,143.38
26,41.52,142.82
60,40.78,142.15
32,39.83,143.16
45,-30.86,-178.21
33,-30.84,-178.2
44,44.67,150.28
47,41.47,142.88
21,-41.72,172.03
618,-6.84,118.91
73,-2.98,139.34
45,44.48,150.19
27,-1.86,120.1
31,39.47,142.89
16,5.64,-82.6
26,41.06,143.1
33,-5.55,-77.2
33,-5.51,-77.3
68,36.01,139.33
72,-2.7,139.01
44,38.54,142.14
30,39.54,143.2
17,-30.97,-178.13
25,-0.27,133.47
36,-6.86,-80.42
31,16.3,122.11
36,16.56,-97.79
43,25.73,128.5
52,16.45,122.31
96,6.6,126.77
48,33.31,132.31
1,1.38,126.24
41,1.4,126.27
22,0.06,119.73
534,-10.2,159.9
33,1.17,126.14
25,34.15,59.01
14,34.09,58.24
32,-3.74,143.01
122,-8.62,-74.55
640,-21.57,-179.35
3,28.3,53.17
49,-6.08,148.77
103,10.76,-62.7
57,42.08,142.65
114,15.54,-92.65
12,-30.52,-178.01
151,-6.89,129.21
12,-3.65,143.37
66,-13.1,-76.37
0,49.82,78.18
45,-56.27,-27.07
10,-7.6,126.26
518,26.29,140.7
33,-39.85,87.74
18,-31.54,117
21,-3.38,143.29
49,-12.41,166.43
7,65.46,-150.07
1,1.2,126.34
596,-14.2,172.02
0,73.39,54.58
150,9.57,-72.63
49,40.3,142.39
15,-14.01,23.82
33,51.56,175.86
82,60.15,-152.82
79,-56.03,-27.57
71,-8.03,158.94
32,-10.57,164.46
138,-56.81,-26.93
238,44.89,143.21
114,-14.89,167.22
17,54.84,166
587,-21.87,-179.54
24,0.77,126.02
35,-17.15,-171.57
72,4.77,127.5
46,4.81,127.54
27,-8.07,-80.09
635,-22.75,178.76
3,41.42,79.24
425,-6.76,126.74
74,3.5,128.41
53,-3.17,118.91
14,35.97,-10.58
43,8.69,127.35
32,4.72,127.65
4,38.55,28.46
35,11.91,41.21
33,27.61,33.91
19,12,41.35
170,-6.11,129.91
38,-13.57,166.2
39,32.15,131.98
34,-30.5,-71.38
200,-16.71,-174.66
22,51.29,-179.85
22,34.43,25.04
52,49.41,155.54
66,-7.93,159.05
33,-52.53,159.7
41,53.31,-162.41
56,51.46,-179.95
44,52.21,158.95
6,38.43,119.47
54,-17.3,-72.48
1,-11.84,-75.1
531,-5.71,125.42
21,1.26,126.23
193,36.44,70.86
193,-6.14,129.69
8,43.46,147.91
45,43.59,147.63
41,43.44,147.82
38,43.61,147.18
0,43.63,146.5
0,43.72,147.8
33,43.78,147.48
44,1.81,126.41
70,43.45,147.98
46,43.14,147.44
320,21.57,143.1
49,43.17,147.46
34,25.12,-109.55
111,47.88,153.75
31,-8.89,157.95
17,-8.98,157.91
38,51.27,-179.17
39,31.08,131.43
37,15.3,-45.78
36,-60.9,-55.9
43,-11.75,-75.15
0,73.39,54.5
124,23.09,94.7
43,51.31,-179.23
7,34.77,-121.35
57,-16.11,-173.87
31,-53.37,23.6
22,51.26,-178.95
11,34.72,-121.28
74,27.8,60.02
20,1.94,94.61
51,57.7,163.56
113,37.16,71.64
0,49.94,78.98
0,43.79,54.75
51,1.99,126.94
31,8.2,58.49
329,46.21,142.45
1,15.79,-59.64
6,16.08,-59.79
62,28.55,129.15
