age,coverstorey,coverregen,meanregen,coniferous,deadtree,cbpiles,ivytree,fdist
120,80,60,7,20,0,4,0,100
120,70,90,3,25,1,2,0,10
120,90,70,6,40,0,7,0,110
120,90,20,7,5,0,11,0,10
120,90,20,4,1,0,11,0,110
200,80,80,5,0,1,3,0,30
200,70,90,5,0,0,1,0,40
200,75,60,5,0,0,2,0,60
120,90,20,4,0,0,9,9,20
200,55,100,9,1,0,2,0,60
200,60,100,7,0,0,2,0,60
200,65,100,7,0,1,2,0,30
200,80,100,6,0,0,1,0,25
200,100,0,0,0,0,0,0,500
200,110,0,0,0,1,1,0,450
200,90,0,0,0,0,2,0,450
200,110,0,0,0,0,2,0,360
200,110,0,0,0,2,0,0,330
200,110,0,0,0,0,0,0,330
200,90,0,0,0,2,3,0,250
200,100,0,0,1,2,1,0,200
200,110,0,0,0,1,1,0,240
200,110,0,0,0,0,2,0,130
200,100,0,0,1,1,2,1,90
120,3,95,5,0,0,1,0,70
120,6,100,4,5,0,0,0,120
120,3,90,6,0,0,0,0,190
120,3,100,8,0,0,0,0,160
120,50,100,5,30,0,0,1,240
230,70,10,1,10,1,6,3,40
230,65,10,1,40,0,4,0,130
230,70,30,7,20,0,5,0,90
230,50,10,0.3,40,0,4,0,190
230,60,30,6,0,0,3,0,70
230,65,30,1.5,3,1,3,4,90
230,75,5,2,0,0,6,0,180
230,90,10,2,0,0,4,0,280
230,70,5,1,25,2,5,0,100
230,75,20,6,0,1,2,0,200
230,95,20,0.5,0,2,2,3,300
160,15,25,2,1,0,2,0,300
160,15,85,3,1,0,6,0,500
160,20,70,2,1,1,3,0,300
160,20,15,2,30,0,9,0,200
160,20,40,2,30,0,6,0,200
160,5,85,3,0,1,3,0,500
160,20,50,2,0,0,3,0,400
160,20,30,1,30,0,10,0,300
160,20,20,2,30,0,6,0,200
160,30,70,2,30,0,5,0,100
230,85,50,0.2,10,0,3,0,130
160,25,30,3,5,0,2,0,500
160,25,85,3,0,0,3,0,400
160,40,20,2,15,0,5,0,310
160,60,40,2,60,0,3,0,210
230,85,30,0.25,5,1,7,3,150
230,75,0,0,2,1,9,0,90
160,30,50,7,0,1,0,0,200
160,40,90,7,0,0,0,0,160
160,40,90,6,0,0,1,0,60
200,100,0,0,25,0,2,0,125
200,100,0,0,0,0,2,0,25
160,40,70,8,0,0,0,0,110
160,60,40,7,0,0,0,0,180
160,35,100,10,0,0,1,0,80
200,100,10,2,0,0,1,0,130
200,110,0,0,0,1,1,1,40
160,30,90,9,0,0,0,0,40
160,50,100,7,0,0,1,0,110
160,40,80,7,0,1,1,0,70
200,110,10,2,0,0,3,3,110
200,110,0,0,0,0,0,1,70
200,75,60,2,5,0,0,2,200
200,85,40,2,0,0,0,12,180
200,100,0,0,0,0,1,0,80
160,70,60,10,0,0,0,0,10
200,110,0,0,1,0,0,0,10
200,110,0,0,0,1,0,1,10
200,100,50,1,0,2,0,0,100
200,95,40,2,0,1,0,3,180
200,100,0,0,0,0,0,1,70
200,95,70,1,0,0,0,2,60
200,80,60,1,0,0,2,2,130
200,110,0,0,0,3,1,0,130
200,90,20,1,0,0,1,0,40
200,100,0,0,0,0,0,0,30
