NOx,C
3.741,12
2.295,12
1.498,12
2.881,12
0.76,12
3.12,9
0.638,9
1.17,9
2.358,12
0.606,12
3.669,12
1,12
0.981,15
1.192,18
0.926,7.5
1.59,12
1.806,12
1.962,15
4.028,15
3.148,9
1.836,9
2.845,7.5
1.013,7.5
0.414,18
0.812,18
0.374,15
3.623,15
1.869,7.5
2.836,7.5
3.567,9
0.866,15
1.369,15
0.542,15
2.739,15
1.2,15
1.719,9
3.423,9
1.634,7.5
1.021,7.5
2.157,7.5
3.361,18
1.39,18
1.947,18
0.962,18
0.571,9
2.219,9
1.419,9
3.519,9
1.777,7.5
3.206,7.5
2.471,7.5
1.777,15
2.571,18
3.952,18
3.931,15
1.587,15
1.369,7.5
3.536,7.5
2.202,7.5
0.756,7.5
1.62,7.5
3.656,7.5
2.964,7.5
3.76,18
0.672,18
3.677,18
3.517,12
3.29,12
1.139,9
0.727,9
2.581,9
0.923,15
1.527,15
3.388,15
2.085,15
0.966,15
3.488,7.5
0.754,7.5
0.797,9
2.064,7.5
3.732,18
0.586,18
0.561,7.5
0.563,9
0.678,12
0.37,15
0.53,18
1.9,18
